,Angle,Intensity,class,pos,sample,search
387,22.558429999999998,1007.0,Ag2Se,1999,15,max
388,27.793429999999997,-6.9978,Ag2Se,3046,15,min
389,32.11343,419.24164,Ag2Se,3910,15,max
390,36.85843,-6.99918,Ag2Se,4859,15,min
391,39.603429999999996,23.619429999999998,Ag2Se,5408,15,max
392,42.18343,-7.0,Ag2Se,5924,15,min
393,51.87343,227.84632000000002,Ag2Se,7862,15,max
394,55.123430000000006,-6.997610000000001,Ag2Se,8512,15,min
395,57.258430000000004,58.163959999999996,Ag2Se,8939,15,max
396,59.733430000000006,-6.99872,Ag2Se,9434,15,min
397,62.33343000000001,19.49166,Ag2Se,9954,15,max
398,63.65843,-6.99783,Ag2Se,10219,15,min
399,67.17843,203.34515,Ag2Se,10923,15,max
400,69.61843,-6.993689999999999,Ag2Se,11411,15,min
401,71.85343,137.86536,Ag2Se,11858,15,max
402,73.95343000000001,-6.99335,Ag2Se,12278,15,min
403,76.41343,166.66408,Ag2Se,12770,15,max
404,83.06343000000001,-6.9992399999999995,Ag2Se,14100,15,min
405,89.69843,144.90871,Ag2Se,15427,15,max
406,95.95343000000001,-6.99909,Ag2Se,16678,15,min
407,102.95343000000001,119.65154,Ag2Se,18078,15,max
408,105.43843000000001,-6.992030000000001,Ag2Se,18575,15,min
409,107.49343,61.486580000000004,Ag2Se,18986,15,max
410,109.72843,-6.9931600000000005,Ag2Se,19433,15,min
411,112.16343,69.61997,Ag2Se,19920,15,max
412,119.27343,-6.999410000000001,Ag2Se,21342,15,min
413,127.35343,42.02539,Ag2Se,22958,15,max
414,130.45843,-6.996580000000001,Ag2Se,23579,15,min
415,133.09343,19.5182,Ag2Se,24106,15,max
416,137.25343,-6.998639999999999,Ag2Se,24938,15,min
417,146.74843,40.0558,Ag2Se,26837,15,max
418,156.43343000000002,-6.99955,Ag2Se,28774,15,min
419,12.4902,0.00033,Ag2Se,0,16,min
420,22.4852,1000.0,Ag2Se,1999,16,max
421,27.6852,0.00221,Ag2Se,3039,16,min
422,32.0102,447.81299,Ag2Se,3904,16,max
423,42.0302,0.0,Ag2Se,5908,16,min
424,51.6902,233.3823,Ag2Se,7840,16,max
